LED1;LED2;LED3;LED4;LED5;LED6;LED7;LED8;LED9;LED10;LED11;LED12;LED13;cone_type
0,0679268;0,135414;0,0698783;0,1306;0,0707129;0,0885392;0,0661095;0,129487;0,157229;0,253094;0,776433;0,998319;1;U
-0,183804;-0,0640082;0,0228341;0,0393939;0,12689;0,136225;0,0625397;0,149625;0,323379;0,842555;0,918633;0,94273;1;U
0,160083;0,17083;0,165271;0,0636802;0,188718;0,193527;0,234804;0,216593;0,0740084;0,352036;0,820139;0,994395;1;U
0,134495;0,0671766;0,155654;0,101677;0,0775229;0,0792472;0,112586;0,128408;0,118129;0,277159;0,621396;1;0,998281;U
0,108638;0,127307;0,161992;0,141277;0,0946488;0,181306;0,268999;0,169262;0,140679;0,261086;0,709867;0,913641;1;U
0,145975;0,292484;0,352761;0,329782;0,353166;0,368988;0,43907;0,522983;0,556091;0,765545;0,939362;0,960831;0,991878;U
-0,200675;-0,089696;0,0616962;0,0548925;0,109312;0,126099;0,182014;0,185078;0,115096;0,642643;0,930065;0,917742;1;U
0,254949;0,194154;0,398522;0,19209;0,257611;0,174275;0,0750485;0,398646;0,327289;0,528589;0,919853;0,935804;0,99733;U
0,124211;0,151257;0,214438;0,18177;0,147473;0,09878;0,182116;0,149674;0,0789131;0,201716;0,70781;0,98379;1;U
-0,035731;-0,0118143;0,0103739;0,0744406;0,0650617;0,0281627;0,00447028;0,0403254;-0,104179;0,0846835;0,533448;0,982746;1;U
0,163276;0,199471;0,195381;0,177832;0,0605216;0,17863;0,0680181;0,0320629;0,0451897;0,0290127;0,166798;0,922791;1;U
0,0268718;0,0201087;0,0947568;0,0417076;0,0471434;-0,00636724;-0,0735077;-0,089198;-0,0341254;0,0989637;0,728272;1;0,99854;U
0,0747938;-0,00237528;-0,0538727;-0,00923184;0,112555;0,0815942;0,0552645;0,144364;0,246579;0,915639;0,917511;0,960336;1;U
-0,350768;-0,365527;-0,18725;-0,252901;-0,24098;-0,186913;-0,191025;-0,212552;0,0337586;0,814904;0,928751;0,95196;1;U
-0,113013;-0,19302;-0,1299;-0,168537;0,0420831;-0,0691909;-0,030814;-0,00839308;0,0958075;0,54076;0,960629;0,968286;1;U
-0,00101055;-0,0608442;0,0374595;0,0988494;0,0243685;0,00790282;0,0600243;0,148506;0,166547;0,357829;0,92997;1;0,989113;U
0,338579;0,35739;0,450066;0,340923;0,478862;0,461714;0,445002;0,509998;0,387048;0,681616;0,929565;1;0,933749;U
0,0921748;0,126687;0,184475;0,148494;0,208208;0,205141;0,146788;0,216331;0,145664;0,00629349;0,383383;0,991227;1;U
-0,142415;-0,11991;-0,187742;-0,0713312;-0,0782584;-0,0814264;-0,0134818;0,132161;0,186557;0,936834;0,918173;0,992514;1;U
0,158167;0,156866;0,166676;0,219124;0,251759;0,186911;0,164506;0,116338;0,0807821;0,0901632;0,50922;0,98338;1;U
-0,104867;0,154105;0,0759211;-0,0744371;-0,0673376;-0,0721945;-0,122579;-0,217774;-0,0943569;-0,00826382;0,547575;1;0,931669;U
0,104422;0,181803;0,19577;0,21847;0,231819;0,252979;0,0875414;0,141478;0,162334;0,206942;0,655058;0,93737;1;U
0,0159476;0,18282;0,193306;0,196529;0,0707748;0,184833;0,116362;0,0797483;0,221673;0,458347;0,9125;0,969371;1;U
-0,164227;-0,0253814;-0,0328445;0,052307;0,00384805;0,000862364;0,0202837;0,0727251;0,0563289;0,742914;0,98324;1;0,988498;U
0,0915667;0,0933028;0,217905;0,231094;0,168339;0,0996613;0,228017;0,164738;0,120525;0,238834;0,691303;0,92754;1;U
0,0118153;0,16975;0,291522;0,180306;0,0379401;0,0784578;-0,116711;-0,0555291;0,0103293;0,60399;0,937768;0,933515;1;U
0,102669;0,19674;0,301724;0,20855;0,235746;0,231139;0,219651;0,213547;0,23565;0,180035;0,613828;0,972457;1;U
0,00967801;0,0481378;-0,0421169;-0,00716527;-0,052746;-0,192518;-0,00296371;0,069361;0,0242931;0,285757;0,909729;0,945175;1;U
