LED1;LED2;LED3;LED4;LED5;LED6;LED7;LED8;LED9;LED10;LED11;LED12;LED13;region;cone_type
-0,0476669;-0,093855;-0,183875;-0,102562;-0,62073;-0,353138;-0,262523;0,723437;0,932893;1;0,921699;0,931899;0,683283;SZ;B
-0,00353797;-0,1029;-0,459054;0,0325127;-0,136231;-0,242421;-0,0613085;0,627603;0,965715;0,88448;1;0,815341;0,634703;SZ;B
0,333372;0,252261;0,253604;0,145469;-0,238602;-0,1669;0,0555515;0,929202;1;0,901418;0,902367;0,763488;0,693458;SZ;B
-0,0408546;0,0284386;-0,0166945;0,214901;-0,232481;-0,23807;-0,214761;0,492772;0,841807;1;0,787769;0,675098;0,596152;SZ;B
-0,0290062;-0,0632398;-0,141977;-0,13823;-0,0849413;-0,335511;0,147878;0,315422;0,839857;1;0,842451;0,743082;0,637943;SZ;B
0,0484484;0,0149275;-0,00379413;-0,019072;-0,437062;-0,582941;-0,218554;0,137745;0,678987;1;0,776742;0,719054;0,549595;SZ;B
-0,0434579;0,0330541;-0,286018;-0,168091;-0,340725;-0,38979;0,442132;0,894774;0,99345;1;0,960174;0,911399;0,949225;SZ;B
0,110308;-0,0153854;0,0626217;0,00967553;-0,183885;-0,256202;-0,184723;0,540553;0,866185;1;0,931498;0,903492;0,562047;SZ;B
-0,0176645;-0,113802;0,0451478;-0,207164;-0,00231633;-0,329959;0,0260043;0,886297;1;0,903718;0,934236;0,843307;0,807796;SZ;B
-0,132;0,102855;-0,164731;-0,0207657;-0,296715;-0,465177;0,0711112;0,89933;0,956861;1;0,920505;0,906983;0,801632;SZ;B
0,0445037;0,225801;0,0810878;0,00815669;-0,148377;-0,306375;-0,0969269;0,701727;0,987853;1;0,914818;0,913326;0,670198;SZ;B
-0,260203;-0,191869;-0,195474;-0,0722631;-0,462412;-0,580934;-0,433019;0,702407;0,735568;1;0,618396;0,69263;0,413849;SZ;B
0,0102416;0,0703345;0,193067;0,147043;-0,187089;-0,268958;-0,00726438;0,964416;0,938676;0,956316;0,80313;1;0,68733;SZ;B
-0,0880769;0,172745;0,400044;0,197314;-0,0867829;-0,319645;-0,269163;0,815382;0,988844;0,99343;0,846772;1;0,811919;SZ;B
-0,0121752;0,0686844;0,126157;0,0610883;-0,188066;-0,171873;0,105069;0,887079;1;0,936858;0,905304;0,85102;0,768935;SZ;B
0,175772;0,294516;0,14822;0,0650914;0,0172333;0,016665;-0,2438;0,458082;0,682714;1;0,946311;0,721692;0,578455;SZ;B
0,0463203;0,190249;-0,0545336;0,312462;-0,131866;-0,239091;-0,0393898;0,957935;1;0,963377;0,866924;0,790351;0,666038;SZ;B
0,0711177;0,279406;0,0765755;0,139562;-0,170304;-0,201433;-0,00902322;0,774641;0,854022;1;0,921452;0,864555;0,782425;SZ;B
0,0913015;0,0627875;-0,1449;0,126757;-0,692072;-0,955694;-0,95506;0,220245;0,404236;0,816626;0,0274892;-0,161254;-0,345784;Ventral;B
0,343485;0,219458;0,467265;0,306787;0,173015;0,0978696;-0,890842;0,151442;0,731493;1;0,226641;0,398969;0,625702;Ventral;B
